Airways,Center,Latitude,Longitude,Numbered Fix
J181 J20,ZFW,34.567972,-96.404472,14421
J181 J24,ZKC,39.050861,-92.194528,14791
J181 J41,ZKC,37.704944,-93.581472,14430
J181 J46,ZME,36.196306,-95.247528,14432
J181 J52,ZFW,34.095750,-96.625806,14574
J181 J78,ZKC,36.442194,-94.941000,14426
J181 J8,ZKC,37.088528,-94.194583,14429
J181 J87,ZFW,34.977500,-96.210306,14583
J181 J98,ZKC,36.848917,-94.429389,14428
J182 J24,ZDV,38.855111,-100.298472,12386
J182 J25,ZKC,36.727639,-95.613639,12631
J182 J64,ZDV,39.105922,-100.946619,12385
J182 J78,ZKC,36.469111,-94.846694,12626
J182 J98,ZKC,36.539583,-95.080222,12627
J183 J21 J25,ZHU,30.694944,-97.466250,14122
J183 J42,ZAB,31.305611,-102.278722,14111
J183 J65,ZHU,30.920944,-99.581361,14119
J184 J86,ZAB,32.020667,-106.550611,14256
J184 J92,ZAB,33.273861,-111.952222,14251
J186 J22,ZTL,36.256694,-82.981611,11799
J186 J24,ZID,38.466167,-82.700611,12964
J186 J42,ZID,37.314556,-82.818028,12948
J186 J526,ZID,37.635597,-82.767492,13790
J186 J6,ZID,38.078472,-82.725722,12962
J186 J78 J8,ZID,38.300444,-82.711361,12963
J186 J99,ZTL,35.061500,-83.216444,11916
J187 J6,ZME,35.533861,-90.116778,14800
J187 J78,ZKC,37.571528,-90.659167,14794
J187 J8,ZKC,38.622444,-90.950889,14804
J187 J98,ZKC,37.633333,-90.676083,14795
J189 J3,ZSE,41.098689,-121.531844,11702
J189 J32,ZOA,38.703000,-121.109806,11704
J189 J58 J80,ZOA,37.850417,-120.906222,11707
J189 J65,ZOA,37.890194,-120.923500,11706
J189 J94,ZOA,37.985694,-120.965083,11705
J19 J244 J86,ZAB,34.559306,-110.058056,11076
J19 J30 J71,ZAU,41.488222,-88.048028,10488
J19 J60 J71 J82,ZAU,41.546278,-88.040472,10449
J19 J64 J71,ZAU,41.169750,-88.089250,10451
J19 J72,ZAB,35.366667,-108.334306,12227
J19 J80,ZKC,39.842000,-89.182556,13724
J190 J59,ZNY,41.732056,-77.359778,13179
J191 J207,ZDC,36.574067,-77.313831,13504
J191 J209,ZDC,36.150711,-77.423081,13219
J191 J24 J55,ZDC,37.471144,-77.011133,13545
J191 J79,ZDC,36.326611,-77.377833,13220
J192 J21,ZMP,40.190722,-96.284417,12114
J192 J233,ZAU,41.282008,-92.502186,13704
J192 J25,ZMP,40.881250,-93.937194,13499
J192 J41,ZMP,40.462528,-95.355417,13498
J192 J45,ZAU,41.053194,-93.331472,13496
J193 J209,ZDC,36.499653,-76.852903,13156
J196 J198 J240,ZDV,39.647639,-109.183472,13902
J196 J28,ZLC,38.406728,-111.291808,13105
J196 J58,ZLC,38.006000,-111.858056,12523
J196 J80,ZLC,38.750083,-110.785667,12509
J197 J206,ZDV,38.244833,-106.805750,13636
J197 J28,ZDV,38.396889,-106.010194,13637
J197 J44,ZDV,40.274611,-100.247167,12880
J197 J60,ZDV,40.610000,-99.682611,11996
J197 J94,ZMP,42.522000,-97.577056,12184
J198 J523,ZLC,38.441583,-113.468750,14327
J198 J9,ZLC,38.552992,-112.910592,11968
J199 J240,ZLC,39.873389,-109.604556,13898
J199 J523,ZLC,38.617528,-113.747306,14329
J199 J9,ZLC,39.305944,-112.493667,01209
J2 J89,ZJX,30.524389,-83.151111,12284
J2 J91,ZJX,30.534250,-83.485583,12281
J20 J26 J52,ZKC,36.241806,-100.051389,10505
J20 J28 J52,ZDV,38.121139,-102.571611,10221
J20 J3,ZSE,45.719667,-118.974444,10081
J20 J35 J4,ZME,32.451833,-90.268278,11882
J20 J4 J69,ZTL,32.324583,-87.854650,10593
J20 J517,ZLC,44.928667,-116.660667,10120
J20 J52,ZFW,33.792222,-95.261111,14577
J20 J52 J56,ZDV,40.522083,-106.467194,14186
J20 J52 J60,ZDV,39.835306,-104.935278,14188
J20 J52 J64,ZDV,38.580222,-103.260972,12125
J20 J52 J96,ZKC,37.581417,-101.759583,10507
J20 J537,ZLC,44.986083,-116.824028,12301
J20 J55,ZJX,28.887056,-81.875194,12613
J20 J7,ZLC,44.255361,-115.203792,10123
J20 J75,ZJX,29.254028,-82.458694,10652
J20 J8,ZFW,35.657797,-99.126453,10341
J20 J85,ZJX,28.944556,-81.966083,12614
J20 J87,ZFW,34.537861,-96.359389,14582
J20 J89,ZJX,29.312306,-82.552111,12274
J20 J91,ZJX,29.628278,-83.062361,12280
J202 J56,ZLC,40.824694,-111.491944,11976
J203 J70,ZLC,47.052528,-109.045028,11981
J203 J90,ZLC,46.530833,-108.866306,13779
J204 J70,ZLC,47.045528,-108.097083,11984
J206 J24,ZDV,40.451500,-107.870889,13115
J206 J64,ZDV,37.611611,-106.102250,10205
J207 J210,ZJX,33.580750,-80.148583,13141
J207 J40,ZJX,32.865972,-80.677139,13081
J207 J40,ZDC,36.445778,-77.587472,13503
J207 J47,ZJX,33.241611,-80.400694,13082
J208 J40 J55,ZDC,37.156844,-77.408508,13151
J208 J47,ZTL,34.772389,-81.730556,13131
J208 J53 J85,ZTL,34.636500,-81.998167,13130
J208 J99,ZTL,34.312528,-82.628167,13129
J209 J47,ZTL,34.547500,-81.562639,13135
J209 J51,ZDC,35.664667,-79.234528,13437
J209 J53 J85,ZTL,34.300028,-82.057944,13134
J209 J61,ZDC,36.721306,-76.485694,13222
J209 J75,ZTL,35.088167,-80.455556,13136
J21 J25 J86,ZHU,30.303917,-97.625528,14593
J21 J64,ZMP,40.182667,-96.288861,10408
J21 J8,ZKC,35.948083,-97.603083,13217
J21 J80,ZKC,39.305639,-96.766083,11529
J21 J90,ZMP,43.785444,-94.219878,10493
J21 J94,ZMP,42.601333,-94.923167,12933
J21 J96,ZKC,39.124278,-96.863111,10510
J210 J40,ZJX,32.845694,-81.094806,13138
J210 J47,ZJX,33.380222,-80.546639,13140
J210 J51,ZJX,32.796722,-81.144583,13139
J210 J55,ZJX,33.698914,-79.810458,13142
J211 J6,ZDC,39.616056,-77.367944,13535
J211 J64,ZOB,40.792444,-79.683750,13448
J212 J236,ZLA,33.843194,-115.847528,13815
J212 J65,ZAB,33.453817,-112.826472,13213
J213 J24,ZDC,38.098222,-80.231333,10674
J213 J48,ZDC,38.897917,-77.601806,13605
J217 J220,ZNY,41.439236,-77.424367,13354
J217 J227,ZNY,41.506433,-77.205278,13471
J217 J584,ZNY,41.436261,-77.434033,13379
J217 J95,ZNY,41.963194,-75.665583,13476
J22 J45,ZTL,34.777500,-85.443583,10602
J22 J58,ZHU,30.764306,-91.608333,14360
J22 J73,ZTL,34.460167,-85.867194,11909
J22 J83,ZTL,36.580472,-82.117417,11802
J22 J85,ZTL,36.678556,-81.850778,10620
J22 J86,ZHU,29.774889,-93.984083,11496
J22 J89,ZTL,35.230917,-84.829056,10597
J220 J227 J48,ZDC,39.030000,-77.465139,13269
J220 J227 J518,ZMP,39.417056,-77.458778,13284
J220 J227 J6,ZDC,39.574000,-77.456194,13534
J220 J584,ZNY,41.434875,-77.424450,13355
J220 J59,ZNY,41.654667,-77.420639,13353
J222 J42,ZBW,41.101361,-73.520111,13571
J222 J49,ZBW,42.958139,-73.343306,13618
J222 J68,ZBW,42.253333,-73.329250,13616
J222 J95,ZBW,40.963583,-73.594417,13573
J223 J6,ZNY,41.173861,-74.492972,13461
J223 J75,ZNY,40.951000,-74.134722,13459
J225 J62,ZNY,40.267886,-74.246667,13606
J225 J95,ZBW,40.866222,-73.429306,13572
J227 J49,ZNY,41.227472,-77.289750,13469
J227 J584,ZNY,41.407267,-77.235389,13470
J227 J60,ZNY,40.835903,-77.407111,13455
J23 J4 J42 J66,ZFW,32.772528,-97.990806,12054
J23 J52,ZFW,34.586583,-97.725639,13083
J23 J8,ZKC,36.020778,-97.397028,12629
J230 J51,ZDC,40.160386,-75.021781,13452
J231 J44,ZAB,34.332222,-111.328000,14537
J231 J57,ZAB,34.832194,-106.817556,13649
J231 J58,ZAB,35.548306,-104.162556,13654
J231 J6 J78,ZAB,35.132528,-104.998528,13652
J231 J72,ZAB,34.952111,-106.076528,13657
J231 J74 J86,ZAB,34.398056,-109.824778,10330
J231 J76,ZAB,35.432444,-104.397556,13653
J231 J8,ZAB,35.724139,-103.802806,13655
J233 J64,ZAU,40.799583,-92.540222,13705
J233 J82 J94,ZAU,42.514650,-92.402381,13699
J236 J50,ZLA,33.789778,-115.925417,13814
J236 J65,ZLA,33.915417,-115.741906,13816
J236 J72 J86,ZLA,35.607661,-112.520844,13822
J236 J74 J96,ZLA,33.976417,-115.652556,13817
J236 J92,ZLA,35.224861,-113.423361,13820
J239 J39 J41,ZTL,33.266833,-86.736194,13928
J239 J69,ZTL,32.905222,-87.666778,13929
J239 J73,ZTL,33.481750,-85.406389,13927
J24 J37,ZDC,37.740000,-78.547750,13539
J24 J40,ZDC,37.493672,-77.322506,13544
J24 J52,ZDC,37.494061,-77.327922,13542
J24 J64,ZDV,38.846222,-102.119444,12032
J24 J75,ZDC,37.709503,-78.442806,13540
J24 J83,ZID,38.423778,-82.354678,10760
J24 J91,ZID,38.411889,-82.259333,11813
J240 J60,ZDV,39.106917,-108.195861,13905
J240 J80,ZDV,39.162361,-108.295750,13904
J240 J84,ZDV,39.824528,-109.512861,13900
J244 J72,ZAB,35.233611,-107.696278,13943
J25 J32,ZMP,46.421528,-94.086667,13630
J25 J34,ZMP,44.214128,-93.353133,10497
J25 J52,ZFW,34.107528,-96.680444,14573
J25 J64,ZMP,40.575722,-94.093472,12113
J25 J8,ZKC,36.617611,-95.649944,12630
J25 J82 J94,ZMP,42.571056,-93.432417,10425
J25 J96,ZKC,39.698611,-94.533722,10514
J26 J4,ZAB,31.945556,-105.861944,11299
J26 J66,ZAB,32.012750,-105.706083,13938
J26 J72,ZAB,34.498583,-102.861833,10314
J26 J74,ZAB,34.494167,-102.868694,10313
J26 J76,ZAB,34.885194,-102.256222,11086
J26 J8,ZAB,35.764250,-100.842806,11091
J27 J87,ZHU,30.591750,-96.169472,10390
J29 J46,ZME,36.140000,-89.149083,10564
J29 J6,ZME,35.824417,-89.385889,10568
J3 J34 J90,ZSE,47.135417,-117.949944,10089
J3 J54,ZSE,45.446972,-119.165056,13770
J3 J70,ZSE,47.428778,-117.729944,10087
J3 J82,ZSE,45.287361,-119.275667,10083
J3 J92,ZSE,41.531889,-121.218889,13989
J30 J34 J6,ZDC,39.167214,-78.395644,13531
J30 J43,ZID,40.518667,-83.968111,12026
J30 J73,ZAU,41.459583,-87.916222,14124
J30 J89,ZAU,41.366306,-87.492472,10461
J31 J50,ZHU,31.195917,-89.373583,14356
J31 J590,ZHU,30.879611,-89.523222,14355
J32 J36,ZMP,46.125222,-95.440556,10490
J32 J52,ZLC,42.810181,-110.528306,12090
J32 J523,ZLC,40.842833,-116.218639,14336
J32 J54,ZLC,42.587556,-111.246000,14287
J32 J67,ZOA,38.810083,-120.925556,13423
J32 J9,ZLC,42.320447,-112.082239,10127
J34 J45,ZMP,44.758944,-97.763750,10489
J34 J5,ZSE,47.031333,-122.149556,11758
J34 J517 J90,ZSE,47.103750,-117.450778,10090
J34 J52 J90,ZSE,47.065667,-116.892361,12085
J34 J523,ZSE,47.040750,-122.024889,14323
J34 J537 J90,ZSE,46.989389,-115.877722,12306
J34 J589,ZSE,46.963417,-123.401139,13763
J34 J65,ZSE,47.022878,-122.260086,12396
J34 J7 J90,ZLC,46.649322,-112.327267,12972
J35 J37,ZHU,29.840222,-90.151472,14357
J35 J58,ZHU,29.940472,-90.158667,14358
J35 J590,ZHU,30.728583,-90.215833,14359
J35 J6,ZME,35.567139,-90.033917,10549
J36 J548 J68,ZAU,43.170694,-85.931722,10472
J37 J4 J43,ZTL,33.472278,-84.431833,11830
J37 J4 J45,ZTL,33.526444,-84.347778,11829
J37 J4 J73,ZTL,32.982333,-85.183306,11906
J37 J4 J89,ZTL,33.503972,-84.382667,12278
J37 J4 J91,ZTL,33.490861,-84.403000,12283
J37 J50,ZHU,31.011817,-87.978053,12887
J37 J51,ZDC,38.462667,-76.972194,13548
J37 J61,ZDC,38.544472,-76.723139,13549
J37 J68,ZBW,42.210308,-73.812722,13569
J37 J95,ZBW,41.080139,-73.793222,13567
J39 J6,ZME,37.008056,-86.202083,10573
J39 J66,ZME,34.503472,-86.828611,13065
J4 J46 J52,ZTL,33.675806,-83.230333,14588
J4 J65,ZAB,33.453806,-112.825556,13209
J4 J86,ZAB,31.977806,-106.494167,11298
J4 J87,ZFW,32.883167,-96.901917,14811
J4 J92,ZAB,33.171972,-111.940778,13211
J40 J43,ZTL,32.563058,-84.413389,10604
J40 J46,ZTL,32.741194,-82.910361,14589
J40 J51,ZJX,32.843389,-81.140639,10642
J40 J53 J81,ZTL,32.793611,-82.057200,13068
J40 J73,ZTL,32.460583,-85.005431,11905
J40 J89,ZTL,32.629361,-84.020750,12277
J40 J91,ZTL,32.599475,-84.198664,12282
J41 J6,ZME,35.383417,-90.488833,10550
J41 J616,ZMA,27.352833,-82.315222,12115
J41 J64,ZMP,40.365944,-95.303806,12888
J41 J78,ZKC,37.021417,-92.834056,10519
J41 J87,ZKC,38.562472,-94.201167,11924
J42 J83,ZID,37.479139,-82.231611,12534
J42 J95,ZBW,40.991222,-73.641472,13570
J43 J526,ZID,37.881722,-84.191167,13787
J43 J64,ZOB,40.958250,-83.823889,14083
J44 J6 J78,ZAB,34.834167,-110.962417,11071
J44 J74,ZAB,34.327028,-111.331750,14538
J44 J76,ZDV,36.007750,-109.308944,10187
J44 J8,ZAB,35.302428,-110.422794,13934
J45 J64,ZAU,40.727083,-93.065944,00961
J45 J71,ZKC,38.018944,-89.260083,10539
J45 J75,ZJX,31.243417,-82.260833,11399
J45 J94,ZMP,42.595000,-95.244778,10413
J46 J71,ZME,36.133444,-89.720639,10563
J46 J89,ZTL,36.006917,-85.025667,10596
J478 J530 J7,ZLC,48.946750,-109.528417,13897
J48 J518,ZDC,39.324964,-77.157508,13587
J48 J53,ZTL,36.412472,-81.119861,13583
J48 J83,ZTL,35.723694,-82.011028,13585
J48 J85,ZTL,35.817500,-81.891083,13584
J48 J99,ZTL,34.879064,-83.071956,13586
J483 J549,ZMP,48.936194,-102.247306,13925
J483 J562,ZMP,48.362917,-101.430444,13907
J49 J584,ZNY,41.367575,-76.967833,10910
J5 J82,ZSE,45.622367,-121.610472,10074
J50 J590,ZHU,31.087444,-88.537139,14117
J50 J69,ZHU,31.050056,-88.258444,10400
J501 J589,ZSE,44.012706,-123.315622,13761
J503 J52,ZSE,48.581611,-121.191472,12082
J517 J537,ZLC,45.163656,-116.742981,12302
J517 J70,ZSE,47.432139,-117.575861,10088
J517 J82,ZLC,44.844667,-116.631400,10121
J518 J6,ZDC,39.477350,-77.657933,13533
J518 J61,ZDC,39.246828,-76.904419,13589
J518 J75,ZDC,39.210056,-76.786139,13580
J52 J537,ZSE,46.516472,-116.107722,12305
J52 J54,ZLC,42.292889,-109.876556,14288
J52 J66,ZFW,33.807139,-95.326444,14576
J52 J70,ZSE,47.435083,-117.433833,12084
J52 J713,ZLC,42.526333,-110.168778,14648
J52 J74,ZFW,35.204111,-98.663258,10378
J52 J87,ZFW,34.071889,-96.515639,14584
J523 J56,ZLC,39.695667,-115.193722,14332
J523 J58 J80,ZLC,38.338361,-113.306417,14326
J523 J589,ZSE,47.867667,-123.443111,13765
J523 J82,ZSE,45.517444,-120.839389,14319
J523 J84,ZLC,39.071139,-114.476889,14331
J523 J94,ZLC,40.775611,-116.157389,14335
J526 J6,ZID,37.796333,-83.685056,13788
J526 J83,ZID,37.680111,-82.257528,13791
J526 J85,ZID,37.721803,-81.800725,13793
J526 J91,ZID,37.637361,-82.777917,13789
J537 J569,ZEG,49.057778,-114.907778,14156
J537 J82,ZLC,44.887222,-116.868889,12300
J538 J70,ZMP,44.355417,-90.338250,12833
J54 J589,ZSE,47.380722,-123.420333,13764
J54 J65,ZSE,46.709917,-122.223028,13773
J54 J70,ZSE,47.204861,-123.196083,11760
J54 J713,ZLC,42.390500,-110.320500,14649
J54 J82,ZSE,45.170853,-118.538972,13771
J54 J9,ZLC,42.764361,-112.113444,14291
J54 J94,ZDV,41.709056,-107.366000,14293
J540 J569,ZLC,48.672611,-114.028222,14166
J55 J81,ZJX,29.621333,-81.691806,14367
J55 J85,ZJX,28.261694,-81.690056,14362
J56 J60,ZDV,39.856861,-104.822917,14194
J57 J74,ZAB,34.396667,-106.820139,13189
J575 J79,ZBW,42.694944,-69.940667,14134
J58 J590,ZHU,30.515028,-91.164083,14739
J58 J60,ZLC,37.960861,-111.714278,12485
J58 J65 J80,ZOA,37.852000,-120.880667,10103
J58 J74,ZAB,34.868361,-100.755750,10333
J58 J87,ZFW,32.790250,-96.875139,14578
J584 J59,ZNY,41.456722,-77.575500,10909
J584 J60,ZNY,40.911167,-75.217111,00436
J590 J69,ZHU,31.252833,-88.194972,14118
J6 J61,ZNY,39.724611,-77.139167,13564
J6 J68,ZBW,42.188197,-74.052444,13387
J6 J7,ZLA,35.486972,-119.629972,10254
J6 J71,ZME,35.646278,-89.835944,10569
J6 J73,ZME,36.717639,-87.027889,14127
J6 J89,ZID,37.280528,-85.357111,14346
J6 J91,ZID,38.164444,-82.426361,11811
J6 J95,ZBW,41.419861,-74.387472,01245
J60 J73 J82,ZAU,41.546000,-87.920194,14125
J60 J76,ZLA,36.078978,-114.742306,12241
J60 J82 J84,ZAU,41.545639,-87.810667,10458
J60 J82 J89,ZAU,41.544583,-87.587111,10460
J603 J606,ZAN,58.543833,-159.119222,14603
J61 J75,ZDC,39.151778,-76.876222,13579
J61 J79,ZDC,37.225750,-76.550222,13223
J618 J623,ZAN,55.287250,-162.840222,14602
J64 J73,ZAU,41.169611,-87.903000,14123
J64 J83,ZOB,40.916556,-82.319778,12653
J64 J84,ZAU,41.169250,-87.733444,10462
J64 J85,ZDC,40.908222,-82.078639,12654
J64 J92,ZLA,35.513417,-113.955472,10277
J64 J96,ZAU,41.166194,-88.974278,13719
J65 J67,ZSE,44.887639,-122.015444,12376
J65 J7,ZOA,36.487500,-119.608778,13016
J65 J74 J96,ZLA,33.949917,-115.849639,10263
J65 J82,ZSE,45.686697,-122.104808,12380
J65 J84,ZOA,38.047500,-121.100639,10100
J65 J86,ZHU,30.522722,-99.228000,13715
J65 J86,ZAB,33.331139,-108.318528,11320
J65 J94,ZOA,37.959222,-121.001111,10101
J66 J73,ZTL,34.292194,-85.787250,11908
J66 J87,ZFW,33.134694,-96.824556,14580
J67 J92,ZOA,40.878528,-120.696278,13991
J68 J79,ZBW,41.406667,-70.415000,14106
J7 J70,ZLC,47.227583,-111.669972,12974
J7 J82,ZLC,44.544078,-114.787139,10122
J70 J9,ZLC,47.217472,-111.536750,10143
J713 J82,ZLC,44.062389,-108.380250,14646
J713 J94,ZLC,41.508750,-111.284472,14652
J73 J8,ZID,38.471694,-87.785056,14129
J73 J80,ZID,39.837556,-87.843611,14132
J74 J76,ZAB,34.727000,-101.571000,11087
J75 J95,ZBW,41.117139,-73.856583,13486
J76 J92,ZLA,36.079639,-115.054944,14462
J78 J8 J83,ZID,38.320694,-82.341083,13042
J78 J8 J91,ZID,38.321806,-82.320306,11812
J79 J97,ZBW,41.592583,-70.300806,14107
J8 J86,ZAB,35.218389,-111.113806,13933
J8 J98,ZFW,35.744139,-98.479556,10340
J80 J89,ZID,39.819750,-86.609028,10724
J80 J96,ZKC,39.303250,-96.161222,11530
J83 J91,ZID,38.295889,-82.337806,13041
J84 J9,ZLC,39.304278,-112.494611,01207
J84 J94,ZOA,38.112222,-120.792417,10099
J9 J90,ZLC,46.605739,-111.858986,13777
J9 J94,ZLC,41.472472,-112.023806,10132
Q103 Q40,ZTL,37.194111,-80.677250,01033
Q103 Q42,ZOB,40.162583,-80.070139,01097
Q103 Q480,ZOB,40.011889,-80.071167,01062
Q103 Q62,ZOB,40.952556,-80.064611,01063
Q103 Q68,ZDC,38.558528,-80.210722,01036
Q103 Q72,ZDC,39.076111,-80.081417,01037
Q103 Q80,ZDC,38.538722,-80.217611,01035
Q106 Q112,ZJX,29.446944,-83.266861,14812
Q108 Q110,ZJX,30.730944,-83.984444,14813
Q108 Q116,ZJX,30.695889,-83.750750,14814
Q108 Q118,ZJX,30.665000,-83.535194,14815
Q11 Q120,ZOA,39.412139,-119.931778,00281
Q11 Q122 Q124,ZOA,39.250944,-119.884028,00285
Q11 Q126,ZOA,38.397917,-119.635083,00291
Q11 Q128 Q130,ZOA,38.217694,-119.583500,00296
Q11 Q132,ZOA,39.651889,-120.003194,00299
Q11 Q134,ZOA,38.032083,-119.530889,00322
Q11 Q138,ZOA,39.865750,-120.067333,00327
Q11 Q158,ZOA,36.834972,-119.198000,30809
Q11 Q160,ZOA,37.137750,-119.281167,30810
Q11 Q162 Q164,ZOA,37.100972,-119.271028,30819
Q110 Q112 Q116 Q118,ZJX,29.040944,-82.597333,14816
Q110 Q22,ZTL,32.743000,-85.541361,00781
Q110 Q25,ZME,37.326111,-88.643222,00774
Q110 Q28,ZME,37.465833,-88.731361,00773
Q110 Q29,ZME,36.817889,-88.325722,00776
Q110 Q31,ZME,36.997694,-88.437500,00775
Q110 Q32,ZME,35.568000,-87.541056,00779
Q110 Q34,ZME,35.808861,-87.695750,00778
Q110 Q36,ZME,36.109361,-87.890250,00777
Q110 Q56,ZTL,32.654389,-85.476389,00795
Q110 Q64,ZTL,32.540250,-85.392889,00802
Q110 Q66,ZME,35.652583,-87.595278,00771
Q114 Q13 Q74,ZLA,35.968417,-114.901056,33145
Q114 Q130,ZLC,37.795944,-111.857444,33131
Q114 Q15 Q74,ZLA,35.711694,-115.250639,33144
Q114 Q35,ZLA,37.198667,-113.056000,33133
Q118 Q22,ZTL,33.510778,-84.403500,00782
Q118 Q29,ZID,39.346333,-85.126722,01041
Q118 Q40,ZTL,35.137000,-84.640417,00789
Q118 Q42,ZID,40.242972,-85.556944,00831
Q118 Q56,ZTL,33.337083,-84.363694,00796
Q118 Q64,ZTL,33.122222,-84.314694,00803
Q118 Q66,ZTL,36.180556,-84.753667,00807
Q12 Q18,ZAN,68.501528,-156.782667,14808
Q12 Q6,ZAN,69.016472,-154.573944,14809
Q12 Q61,ZAN,69.263333,-153.428611,00187
Q120 Q13,ZOA,39.764861,-119.320750,00282
Q120 Q132,ZLC,40.734250,-116.825778,00302
Q120 Q150,ZLC,42.861333,-108.682111,00517
Q120 Q152,ZDV,43.770972,-103.324667,00544
Q120 Q154,ZLC,41.957056,-112.584194,00530
Q120 Q19,ZMP,44.401000,-97.441833,00968
Q120 Q35,ZLC,40.765333,-116.726028,00303
Q120 Q7,ZOA,38.925250,-120.756389,00279
Q120 Q73,ZLC,41.360083,-114.741917,33166
Q120 Q9,ZOA,39.187056,-120.315611,00280
Q121 Q148,ZLC,44.071556,-110.210694,00510
Q121 Q150,ZLC,43.793722,-110.793806,00515
Q121 Q152,ZLC,44.892861,-108.414583,00519
Q121 Q154,ZLC,42.417722,-113.526250,00528
Q121 Q73,ZLC,41.745389,-114.779139,33065
Q121 Q842,ZLC,42.904250,-112.586111,33157
Q122 Q124 Q13,ZOA,39.616444,-119.262028,00286
Q122 Q124 Q7,ZOA,38.734917,-120.742028,00283
Q122 Q124 Q9,ZOA,39.016472,-120.276722,00284
Q122 Q148,ZDV,42.020000,-106.328944,00541
Q122 Q150,ZDV,41.976000,-107.120417,00543
Q122 Q154,ZLC,41.589222,-111.929222,00531
Q122 Q19,ZMP,42.595000,-95.244778,00967
Q122 Q35,ZLC,40.627472,-116.560194,00305
Q122 Q73,ZLC,41.133861,-114.720250,33063
Q122 Q842,ZLC,41.525806,-112.530667,33136
Q123 Q140,ZLC,47.318111,-106.955083,00502
Q123 Q142,ZLC,46.901944,-107.632361,00504
Q123 Q146,ZLC,46.792222,-107.808111,00507
Q123 Q148,ZLC,44.556083,-111.160750,00509
Q123 Q150,ZLC,44.153167,-111.723111,00514
Q123 Q152,ZLC,45.236472,-110.183944,00525
Q123 Q154,ZLC,42.564889,-113.833611,00527
Q123 Q156,ZLC,46.470861,-108.316361,00558
Q123 Q73,ZLC,41.807917,-114.785250,33071
Q123 Q842,ZLC,43.489556,-112.624778,33158
Q124 Q35,ZLC,40.551500,-116.469250,00307
Q124 Q73,ZLC,40.688861,-114.678083,33106
Q124 Q842,ZLC,40.719833,-112.554611,33088
Q125 Q140,ZLC,47.536333,-111.202861,00501
Q125 Q142,ZLC,47.227333,-111.425472,00503
Q125 Q144,ZLC,47.374556,-111.319778,00505
Q125 Q146,ZLC,46.927333,-111.638861,00506
Q125 Q148,ZLC,45.304111,-112.748889,00508
Q125 Q150,ZLC,44.711917,-113.136361,00513
Q125 Q152,ZLC,45.645000,-112.521750,00518
Q125 Q154,ZLC,42.835611,-114.308500,00526
Q125 Q156,ZLC,46.628972,-111.848417,00532
Q125 Q73,ZLC,42.002194,-114.804222,33102
Q125 Q842,ZLC,45.303139,-112.749528,33139
Q126 Q13,ZOA,38.554889,-118.381056,00293
Q126 Q15,ZOA,38.543806,-118.473472,00292
Q126 Q154,ZDV,39.937306,-108.970444,00545
Q126 Q35,ZLC,39.084861,-114.768194,00308
Q126 Q7,ZOA,38.252667,-120.705972,00289
Q126 Q73,ZLC,39.135889,-114.421361,33078
Q126 Q842,ZLC,39.365028,-112.860528,33087
Q126 Q9,ZOA,38.333056,-120.122778,00290
Q128 Q13 Q130,ZOA,38.403417,-118.218417,00298
Q128 Q130 Q15,ZOA,38.388806,-118.330472,00297
Q128 Q130 Q7,ZOA,38.054556,-120.691306,00294
Q128 Q130 Q9,ZOA,38.145806,-120.081139,00295
Q128 Q134,ZLC,38.584528,-115.928444,00372
Q128 Q136,ZLC,38.627556,-114.738472,00374
Q128 Q154,ZDV,38.422139,-106.042306,00548
Q128 Q25,ZME,35.531694,-91.804306,00406
Q128 Q28,ZME,35.630389,-92.105333,00319
Q128 Q29,ZME,34.917389,-90.070583,01028
Q128 Q30,ZME,33.604917,-88.145222,01030
Q128 Q31,ZME,35.006306,-90.288750,00407
Q128 Q32,ZME,34.460806,-89.388833,01029
Q128 Q34,ZME,34.957250,-90.150944,01179
Q128 Q35,ZLC,38.641111,-114.272833,00310
Q128 Q36,ZME,36.245639,-94.081194,01027
Q128 Q37,ZDV,38.261472,-104.428278,00454
Q128 Q38,ZME,33.467528,-87.949556,01031
Q128 Q40,ZME,33.340833,-87.770083,01032
Q128 Q66,ZME,35.062583,-90.447583,00766
Q128 Q70,ZLC,38.682194,-110.531722,33061
Q128 Q73,ZLC,38.647111,-114.042472,33109
Q128 Q96,ZLC,38.683167,-110.769833,33128
Q13 Q132,ZOA,39.967111,-119.401222,00301
Q13 Q134,ZOA,38.233778,-118.037333,00324
Q13 Q138,ZOA,40.104167,-119.456056,00328
Q13 Q164,ZOA,37.794500,-117.573694,30817
Q13 Q70,ZLA,36.087111,-115.151833,33163
Q13 Q73 Q88 Q98,ZLA,35.838111,-114.627861,33070
Q13 Q78,ZLA,35.539306,-114.009611,33143
Q13 Q94,ZLA,35.625917,-114.187639,33119
Q13 Q96,ZLA,35.900778,-114.759000,33182
Q130 Q134,ZLC,38.493000,-116.422194,00371
Q130 Q136,ZLC,38.462861,-115.647250,00373
Q130 Q35,ZLC,38.296583,-113.894056,00312
Q130 Q37,ZAB,35.906472,-104.347639,00456
Q130 Q70,ZLC,37.822333,-111.973833,33062
Q130 Q73,ZLC,38.261778,-113.748056,33076
Q130 Q842,ZLC,38.176333,-113.393417,33134
Q130 Q88,ZLC,37.696417,-111.423333,33127
Q132 Q35,ZLC,40.756389,-116.715222,00314
Q134 Q15,ZOA,38.216361,-118.172306,00323
Q134 Q154,ZDV,39.652750,-108.395306,00546
